DATE,BI-COLOR
1/23/2010,24.91666667
1/30/2010,24.375
2/6/2010,24
2/13/2010,25.66666667
2/20/2010,26
2/27/2010,29.25
3/6/2010,30.5
3/13/2010,30.25
3/20/2010,35
3/27/2010,38
4/3/2010,29.25
4/10/2010,23.8125
4/17/2010,26.70833333
4/24/2010,20.42857143
5/1/2010,16.55555556
5/8/2010,14.10416667
5/15/2010,14.51041667
5/22/2010,14.525
5/29/2010,14.14285714
6/5/2010,13.34722222
6/12/2010,10.45833333
6/19/2010,9.475
6/26/2010,9.611111111
7/3/2010,9.986111111
7/10/2010,10.06770833
7/17/2010,9.375
7/24/2010,8.303571429
7/31/2010,8.355263158
8/7/2010,9.723214286
8/14/2010,9.191964286
8/21/2010,10.2
8/28/2010,11.03421053
9/4/2010,12.15833333
9/11/2010,16.03125
9/18/2010,18.74375
9/25/2010,18.07166667
10/2/2010,18.65166667
10/9/2010,20.53269231
10/16/2010,21.01818182
10/23/2010,20.97727273
10/30/2010,18.33333333
11/6/2010,16.5
11/13/2010,17.56944444
11/20/2010,13.125
11/27/2010,12.2875
12/4/2010,17.234375
12/11/2010,18.640625
12/18/2010,20.44642857
12/25/2010,24.425
1/1/2011,24.46875
1/8/2011,35.22
1/15/2011,34.28888889
1/22/2011,32.29375
1/29/2011,32.12875
2/5/2011,29.77571429
2/12/2011,25.36
2/19/2011,26.5225
2/26/2011,26.23
3/5/2011,27.59875
3/12/2011,26.8
3/19/2011,26.195625
3/26/2011,26.9875
4/2/2011,24.39222222
4/9/2011,19.12555556
4/16/2011,16.494375
4/23/2011,16.2478125
4/30/2011,16.03694444
5/7/2011,15.427
5/14/2011,16.3555
5/21/2011,16.089
5/28/2011,16.02863636
6/4/2011,18.48333333
6/11/2011,19.97964286
6/18/2011,18.90883333
6/25/2011,16.95428571
7/2/2011,15
7/9/2011,15.88576923
7/16/2011,17.63722222
7/23/2011,18.78605263
7/30/2011,17.66571429
8/6/2011,15.86833333
8/13/2011,13.85657895
8/20/2011,14.67222222
8/27/2011,15.01277778
9/3/2011,16.2524
9/10/2011,17.66526316
9/17/2011,17.94921875
9/24/2011,15.875
10/1/2011,13.75
10/8/2011,17.47368421
10/15/2011,21.52777778
10/22/2011,20.60714286
10/29/2011,19.03571429
11/5/2011,15.359375
11/12/2011,12.953125
11/19/2011,18.9
11/26/2011,19.125
12/3/2011,19.85833333
12/10/2011,20.33571429
12/17/2011,19.4075
12/24/2011,18.155
12/31/2011,18.075
1/7/2012,17.240625
1/14/2012,17.37142857
1/21/2012,19.271875
1/28/2012,22.24722222
2/4/2012,21.86111111
2/11/2012,16.8775
2/18/2012,15.22777778
2/25/2012,19.58541667
3/3/2012,20.27142857
3/10/2012,17.403125
3/17/2012,16.98333333
3/24/2012,21.22142857
3/31/2012,21.2425
4/7/2012,17.45833333
4/14/2012,15.3675
4/21/2012,14.728125
4/28/2012,15.69444444
5/5/2012,15.1225
5/12/2012,15.36111111
5/19/2012,15.6375
5/26/2012,16.79166667
6/2/2012,16.9
6/9/2012,15.13173077
6/16/2012,17.55113636
6/23/2012,18.09821429
6/30/2012,18.33653846
7/7/2012,16.66666667
7/14/2012,13.90441176
7/21/2012,12.28645833
7/28/2012,11.1423913
8/4/2012,11.45
8/11/2012,12.6484375
8/18/2012,16.06333333
8/25/2012,15.15263158
9/1/2012,14.8671875
9/8/2012,12.88055556
9/15/2012,11.34761905
9/22/2012,11.01805556
9/29/2012,11.92083333
10/6/2012,14.0275
10/13/2012,16.3875
10/20/2012,17.5625
